case,architecture,context_len,scenario,num_clients,dcn_bandwidth_gbps,request_id,input_len,output_len,arrival_time_ms,ttft_ms,cache_retrieval_latency_ms,end_to_end_latency_ms
A,Dedicated per-client,4096,private,128,,153,432,88,555.503096757134,39.377831304015785,5.100000000000023,1510.1594590789907
A,Dedicated per-client,4096,private,128,,300,248,52,1170.7488734766844,123.6911612875333,5.099999999999909,896.4933207466192
A,Dedicated per-client,4096,private,128,,258,4088,48,1016.6950418479944,231.0482668598479,5.100000000000023,1066.9132401162499
A,Dedicated per-client,4096,private,128,,257,4090,56,1016.3472740954918,249.58397370217824,5.100000000000023,1057.8982095690699
A,Dedicated per-client,4096,private,128,,155,417,96,561.9226982867522,37.63180205862295,5.100000000000023,1520.7715788403611
A,Dedicated per-client,4096,private,128,,441,91,16,1840.1127937722526,28.04026950329012,5.099999999999909,244.56327939932908
A,Dedicated per-client,4096,private,128,,88,1474,94,332.23876936785894,92.10052404210853,5.100000000000023,1753.3048359149293
A,Dedicated per-client,4096,private,128,,129,402,105,480.42607834203136,43.86328245501602,5.100000000000023,1613.5127239723693
A,Dedicated per-client,4096,private,128,,356,4076,27,1433.0626133610012,261.41989278973574,5.099999999999909,688.729604040248
A,Dedicated per-client,4096,private,128,,243,1971,73,946.8608068779154,122.7510864015635,5.100000000000023,1181.5474536901802
A,Dedicated per-client,4096,private,128,,144,394,104,529.3596469447135,37.673606062169256,5.100000000000023,1605.2327455470913
A,Dedicated per-client,4096,private,128,,350,1170,43,1382.0801149776205,155.12050355123597,5.099999999999909,756.9123733030112
A,Dedicated per-client,4096,private,128,,291,208,63,1140.4120689040085,31.480205897656106,5.099999999999909,1013.5471784711319
A,Dedicated per-client,4096,private,128,,120,181,107,456.9709366527432,32.02097303561243,5.100000000000023,1688.4471935035945
A,Dedicated per-client,4096,private,128,,177,181,103,630.7638123086269,34.71331695044432,5.100000000000023,1514.9977553963915
A,Dedicated per-client,4096,private,128,,94,1312,121,354.1671978734075,81.98990980498564,5.100000000000023,1808.051947584996
A,Dedicated per-client,4096,private,128,,152,4098,90,554.2579290682502,278.48959563615426,5.100000000000023,1618.6436667720868
A,Dedicated per-client,4096,private,128,,330,4091,44,1270.1532155764526,244.82555124625037,5.099999999999909,906.4292525169553
A,Dedicated per-client,4096,private,128,,463,91,16,1940.7136136117454,30.140464713248093,5.099999999999909,241.73802603164154
A,Dedicated per-client,4096,private,128,,262,4121,62,1028.4695696151564,248.17705946385672,5.099999999999909,1168.1682937777575
A,Dedicated per-client,4096,private,128,,157,397,109,573.3342691778207,42.632269941121194,5.100000000000023,1619.8213701480122
A,Dedicated per-client,4096,private,128,,181,435,98,664.972346078309,47.669683571706855,5.100000000000023,1538.2678062637096
A,Dedicated per-client,4096,private,128,,306,960,67,1181.7668043153271,64.71650950911317,5.099999999999909,1045.6306188754556
A,Dedicated per-client,4096,private,128,,246,1300,75,972.3185453185631,138.1204215108071,5.100000000000023,1256.342675790402
A,Dedicated per-client,4096,private,128,,302,4091,42,1173.9799837535609,264.1588379329796,5.099999999999909,1061.7972336540754
A,Dedicated per-client,4096,private,128,,116,404,120,440.2871808576742,33.70910766338483,5.100000000000023,1822.6110516712693
A,Dedicated per-client,4096,private,128,,382,821,42,1567.5985311096456,65.5991075336085,5.099999999999909,699.9826338541234
