UseCase,Serving Name,Batching_Strategy,Hardware,Parallelism,Max_Batch_Size,Chunk_Size,Cost,HW_Combination,Vendor,Energy_Used,TTFT_avg,TPOT_avg,rps,TTFT_p50,TTFT_p90,TTFT_p95,TTFT_p99,output_throughput,total_token_throughput,tokens_per_dollar,num_completed,num_ttft_observed
codegen-100.0rps,"mi355x-mi355x|{'TP': 1, 'PP': 1, 'DP': 1}-{'TP': 1, 'PP': 1, 'DP': 7}|DISAGGREGATED|bs128|cs2048",DISAGGREGATED,mi355x-mi355x,"{'TP': 1, 'PP': 1, 'DP': 1}-{'TP': 1, 'PP': 1, 'DP': 7}",128,2048,76.0,"['mi355x_1', 'mi355x_1']",AMD,2.7005201061152353,142.84876062372066,6.660628933099718,4.902611948088001,37.07926107115682,380.7472530606128,414.56925121190824,450.35665614864826,2432.5289702828236,-133624.41463021902,32.00696013530031,200,200
codegen-100.0rps,"b200_sxm-b200_sxm|{'TP': 2, 'PP': 1, 'DP': 1}-{'TP': 2, 'PP': 1, 'DP': 3}|DISAGGREGATED|bs128|cs2048",DISAGGREGATED,b200_sxm-b200_sxm,"{'TP': 2, 'PP': 1, 'DP': 1}-{'TP': 2, 'PP': 1, 'DP': 3}",128,2048,68.8,"['b200_sxm_2', 'b200_sxm_2']",Nvidia,1.3551605513632592,1317.8132700683318,8.07380462327959,6.31666193773859,1706.1320376184833,2183.2510911936183,2214.8544392687436,2250.7524799636217,3134.138153647756,-172165.42177613796,45.55433362860111,200,200
codegen-100.0rps,"etched-etched|{'TP': 1, 'PP': 1, 'DP': 2}-{'TP': 1, 'PP': 1, 'DP': 6}|DISAGGREGATED|bs128|cs2048",DISAGGREGATED,etched-etched,"{'TP': 1, 'PP': 1, 'DP': 2}-{'TP': 1, 'PP': 1, 'DP': 6}",128,2048,96.0,"['etched_1', 'etched_1']",Etched,2.7356533450528704,6.596034422835602,6.601965197701273,4.895369137134663,5.999881823999999,7.758266731048864,9.476715949275627,14.471205403499757,2428.9353047721056,-133427.00631314947,25.301409424709433,200,200
codegen-100.0rps,"mi350x-mi350x|{'TP': 1, 'PP': 1, 'DP': 2}-{'TP': 1, 'PP': 1, 'DP': 6}|DISAGGREGATED|bs128|cs2048",DISAGGREGATED,mi350x-mi350x,"{'TP': 1, 'PP': 1, 'DP': 2}-{'TP': 1, 'PP': 1, 'DP': 6}",128,2048,60.0,"['mi350x_1', 'mi350x_1']",AMD,2.780259805484085,22.399073822495257,6.581310804581891,4.8605771037393,7.50641887337656,58.71699652740515,119.2660780995859,167.23075433105686,2411.6725415623287,-132478.72300101348,40.19454235937214,200,200
codegen-100.0rps,"mi355x-mi355x|{'TP': 1, 'PP': 1, 'DP': 2}-{'TP': 1, 'PP': 1, 'DP': 6}|DISAGGREGATED|bs128|cs2048",DISAGGREGATED,mi355x-mi355x,"{'TP': 1, 'PP': 1, 'DP': 2}-{'TP': 1, 'PP': 1, 'DP': 6}",128,2048,76.0,"['mi355x_1', 'mi355x_1']",AMD,2.73971935222593,19.213474769112224,6.603542538692486,4.8964345868135215,7.165312553320632,47.55991779065464,99.81313816115747,139.56164787216989,2429.463948939265,-133456.0459538885,31.96663090709559,200,200
codegen-100.0rps,"etched-etched|{'TP': 1, 'PP': 1, 'DP': 3}-{'TP': 1, 'PP': 1, 'DP': 5}|DISAGGREGATED|bs128|cs2048",DISAGGREGATED,etched-etched,"{'TP': 1, 'PP': 1, 'DP': 3}-{'TP': 1, 'PP': 1, 'DP': 5}",128,2048,96.0,"['etched_1', 'etched_1']",Etched,2.493280477855382,6.443995761390652,6.811213554573943,4.864013758143896,5.957219964477417,6.9142857994567395,8.29440389065429,12.27308165570221,2413.377706378257,-132572.39162866806,25.13935110810684,200,200
codegen-100.0rps,"h200_sxm-h200_sxm|{'TP': 2, 'PP': 1, 'DP': 2}-{'TP': 2, 'PP': 1, 'DP': 2}|DISAGGREGATED|bs128|cs2048",DISAGGREGATED,h200_sxm-h200_sxm,"{'TP': 2, 'PP': 1, 'DP': 2}-{'TP': 2, 'PP': 1, 'DP': 2}",128,2048,50.48,"['h200_sxm_2', 'h200_sxm_2']",Nvidia,1.6621717935131648,509.4300220271774,11.924173520077186,4.082930852067058,574.9493876600588,992.0901529290575,1075.9733508009951,1128.3833125840272,2025.8278008701122,-111283.38340053524,40.13129557983582,200,200
codegen-100.0rps,"mi350x-mi350x|{'TP': 1, 'PP': 1, 'DP': 4}-{'TP': 1, 'PP': 1, 'DP': 4}|DISAGGREGATED|bs128|cs2048",DISAGGREGATED,mi350x-mi350x,"{'TP': 1, 'PP': 1, 'DP': 4}-{'TP': 1, 'PP': 1, 'DP': 4}",128,2048,60.0,"['mi350x_1', 'mi350x_1']",AMD,2.3257873045099746,12.774844557943382,7.2041964634180085,4.806454985719478,6.88047500810729,20.583695798337125,41.244921953822406,115.58411340841461,2384.8187702644336,-131003.58354157352,39.74697950440723,200,200
codegen-100.0rps,"etched-etched|{'TP': 2, 'PP': 1, 'DP': 2}-{'TP': 2, 'PP': 1, 'DP': 2}|DISAGGREGATED|bs128|cs2048",DISAGGREGATED,etched-etched,"{'TP': 2, 'PP': 1, 'DP': 2}-{'TP': 2, 'PP': 1, 'DP': 2}",128,2048,96.0,"['etched_2', 'etched_2']",Etched,1.2860229859792276,77.53988892107776,8.66806727817942,6.130997586777805,28.294275617774176,256.31702174699575,292.5306524421859,366.20686120242266,3042.0170726315437,-167104.99878579503,31.687677839911913,200,200
codegen-100.0rps,"mi355x-mi355x|{'TP': 1, 'PP': 1, 'DP': 4}-{'TP': 1, 'PP': 1, 'DP': 4}|DISAGGREGATED|bs128|cs2048",DISAGGREGATED,mi355x-mi355x,"{'TP': 1, 'PP': 1, 'DP': 4}-{'TP': 1, 'PP': 1, 'DP': 4}",128,2048,76.0,"['mi355x_1', 'mi355x_1']",AMD,2.455842738558104,11.796353310147927,7.207896316400885,4.824185190814326,6.551102060550306,18.86852413461976,34.7587027920902,100.87495424179349,2393.615966126344,-131486.83375638947,31.494946922715055,200,200
