request_idx,input_len,output_len,mist_ttft_sec,mist_e2e_sec,sim_wall_clock_sec,num_requests_submitted,num_requests_completed,platform,model,device,tensor_parallel_size
16,80.0,59.0,0.07005197819999875,1.0286710231999956,2.364698708988726,100,100,h100,llama2_70B,H100_GPU,8
17,768.0,11.0,0.05530248519999759,0.21705153519999795,2.364698708988726,100,100,h100,llama2_70B,H100_GPU,8
18,317.0,567.0,0.037926900199997365,9.733738942433291,2.364698708988726,100,100,h100,llama2_70B,H100_GPU,8
19,619.0,520.0,0.054313313199995716,8.985750187433304,2.364698708988726,100,100,h100,llama2_70B,H100_GPU,8
20,298.0,13.0,0.036233333200009835,0.21011597320000602,2.364698708988726,100,100,h100,llama2_70B,H100_GPU,8
21,696.0,16.0,0.05797227920000569,0.30887790620000394,2.364698708988726,100,100,h100,llama2_70B,H100_GPU,8
22,575.0,35.0,0.05452786420000393,0.6328605438666672,2.364698708988726,100,100,h100,llama2_70B,H100_GPU,8
23,281.0,492.0,0.03558494719999999,8.592800794099956,2.364698708988726,100,100,h100,llama2_70B,H100_GPU,8
24,147.0,129.0,0.02925158086666579,2.2942730758666574,2.364698708988726,100,100,h100,llama2_70B,H100_GPU,8
25,481.0,26.0,0.03024535286666651,0.4704429988666643,2.364698708988726,100,100,h100,llama2_70B,H100_GPU,8
26,770.0,231.0,0.06914615286666685,4.117516115199982,2.364698708988726,100,100,h100,llama2_70B,H100_GPU,8
27,336.0,17.0,0.03127669286666605,0.304339547866668,2.364698708988726,100,100,h100,llama2_70B,H100_GPU,8
28,331.0,11.0,0.03799768586666596,0.24179531486666747,2.364698708988726,100,100,h100,llama2_70B,H100_GPU,8
29,222.0,340.0,0.03352284786666769,6.040607339433302,2.364698708988726,100,100,h100,llama2_70B,H100_GPU,8
30,802.0,768.0,0.05707588086666783,13.45717264801665,2.364698708988726,100,100,h100,llama2_70B,H100_GPU,8
31,481.0,9.0,0.02864545786666349,0.15890411086666154,2.364698708988726,100,100,h100,llama2_70B,H100_GPU,8
32,93.0,123.0,0.020935527866661686,2.192588550199981,2.364698708988726,100,100,h100,llama2_70B,H100_GPU,8
33,641.0,6.0,0.06635723286666416,0.14713398286666415,2.364698708988726,100,100,h100,llama2_70B,H100_GPU,8
34,77.0,26.0,0.0625635188666638,0.507957095866659,2.364698708988726,100,100,h100,llama2_70B,H100_GPU,8
35,689.0,206.0,0.06903223486666411,3.6078653083666494,2.364698708988726,100,100,h100,llama2_70B,H100_GPU,8
36,178.0,151.0,0.02938649486666145,2.6585402931999726,2.364698708988726,100,100,h100,llama2_70B,H100_GPU,8
37,628.0,25.0,0.05961136286665714,0.4484881655333229,2.364698708988726,100,100,h100,llama2_70B,H100_GPU,8
38,480.0,18.0,0.029868550533323285,0.316277680533316,2.364698708988726,100,100,h100,llama2_70B,H100_GPU,8
39,336.0,20.0,0.038561439533317754,0.40931215119997977,2.364698708988726,100,100,h100,llama2_70B,H100_GPU,8
40,515.0,267.0,0.058497346533315064,4.69132217543329,2.364698708988726,100,100,h100,llama2_70B,H100_GPU,8
41,761.0,139.0,0.05930650019998211,2.398177029366647,2.364698708988726,100,100,h100,llama2_70B,H100_GPU,8
42,112.0,12.0,0.03633631019998211,0.21551588019998053,2.364698708988726,100,100,h100,llama2_70B,H100_GPU,8
43,113.0,768.0,0.02391325119998328,13.00500688601661,2.364698708988726,100,100,h100,llama2_70B,H100_GPU,8
44,348.0,67.0,0.04192693919998055,1.1821908751999726,2.364698708988726,100,100,h100,llama2_70B,H100_GPU,8
45,82.0,628.0,0.032805498199983046,10.919597311016636,2.364698708988726,100,100,h100,llama2_70B,H100_GPU,8
46,467.0,11.0,0.03270845119998376,0.2253720001999827,2.364698708988726,100,100,h100,llama2_70B,H100_GPU,8
47,245.0,218.0,0.027719468199984477,3.7918824694332907,2.364698708988726,100,100,h100,llama2_70B,H100_GPU,8
48,343.0,145.0,0.027587888199985172,2.5539546410333096,2.364698708988726,100,100,h100,llama2_70B,H100_GPU,8
49,387.0,22.0,0.031553460199984326,0.3907503461999768,2.364698708988726,100,100,h100,llama2_70B,H100_GPU,8
50,258.0,26.0,0.0349129641999807,0.4524813461999711,2.364698708988726,100,100,h100,llama2_70B,H100_GPU,8
51,225.0,13.0,0.02352972619997854,0.22250584619997427,2.364698708988726,100,100,h100,llama2_70B,H100_GPU,8
52,248.0,490.0,0.03775456319998193,8.638734020516642,2.364698708988726,100,100,h100,llama2_70B,H100_GPU,8
53,133.0,58.0,0.03552075536664961,1.1007991510333122,2.364698708988726,100,100,h100,llama2_70B,H100_GPU,8
54,98.0,29.0,0.023435846366650366,0.5020262983666435,2.364698708988726,100,100,h100,llama2_70B,H100_GPU,8
55,58.0,526.0,0.02258741536665002,9.196413813016658,2.364698708988726,100,100,h100,llama2_70B,H100_GPU,8
56,363.0,16.0,0.031610960366644576,0.2965243773666425,2.364698708988726,100,100,h100,llama2_70B,H100_GPU,8
57,203.0,416.0,0.02706883136664328,7.395737430516661,2.364698708988726,100,100,h100,llama2_70B,H100_GPU,8
