request_idx,input_len,output_len,mist_ttft_sec,mist_e2e_sec,sim_wall_clock_sec,num_requests_submitted,num_requests_completed,platform,model,device,tensor_parallel_size
78,386.0,141.0,0.022766736178888095,2.4803315144213682,2.8626189589849673,100,100,tpu,llama3_8b,tpu_v6e,1
79,661.0,4.0,0.04456584067739823,0.10853891627813209,2.8626189589849673,100,100,tpu,llama3_8b,tpu_v6e,1
80,631.0,27.0,0.0319987262781342,0.4701779564318986,2.8626189589849673,100,100,tpu,llama3_8b,tpu_v6e,1
81,349.0,721.0,0.02768614527815953,11.086331543087022,2.8626189589849673,100,100,tpu,llama3_8b,tpu_v6e,1
82,53.0,63.0,0.03130731527788521,1.1176941912028615,2.8626189589849673,100,100,tpu,llama3_8b,tpu_v6e,1
83,71.0,24.0,0.029879082082235983,0.4540670167637891,2.8626189589849673,100,100,tpu,llama3_8b,tpu_v6e,1
84,496.0,184.0,0.04443192396395352,3.2070678136426833,2.8626189589849673,100,100,tpu,llama3_8b,tpu_v6e,1
85,353.0,22.0,0.03739511206228417,0.41675058990666547,2.8626189589849673,100,100,tpu,llama3_8b,tpu_v6e,1
86,595.0,40.0,0.03878630451111894,0.7041096224120847,2.8626189589849673,100,100,tpu,llama3_8b,tpu_v6e,1
87,286.0,15.0,0.040132993513652765,0.2828624640056114,2.8626189589849673,100,100,tpu,llama3_8b,tpu_v6e,1
88,305.0,18.0,0.025746716407094937,0.3134928212028644,2.8626189589849673,100,100,tpu,llama3_8b,tpu_v6e,1
89,56.0,574.0,0.03350322240732203,8.755926868589137,2.8626189589849673,100,100,tpu,llama3_8b,tpu_v6e,1
90,52.0,214.0,0.02364742620709876,3.4997201452771334,2.8626189589849673,100,100,tpu,llama3_8b,tpu_v6e,1
91,310.0,15.0,0.02506375581667453,0.2647656266168015,2.8626189589849673,100,100,tpu,llama3_8b,tpu_v6e,1
92,238.0,77.0,0.034325219416339675,1.369346765638209,2.8626189589849673,100,100,tpu,llama3_8b,tpu_v6e,1
93,143.0,170.0,0.019017466618162872,2.7791005314822104,2.8626189589849673,100,100,tpu,llama3_8b,tpu_v6e,1
94,660.0,510.0,0.03269404041868984,7.722896830400503,2.8626189589849673,100,100,tpu,llama3_8b,tpu_v6e,1
95,191.0,53.0,0.027416693019025842,0.941036055298122,2.8626189589849673,100,100,tpu,llama3_8b,tpu_v6e,1
96,72.0,16.0,0.02698365542203828,0.284833631224712,2.8626189589849673,100,100,tpu,llama3_8b,tpu_v6e,1
97,258.0,57.0,0.02292116542203803,0.9951484136455728,2.8626189589849673,100,100,tpu,llama3_8b,tpu_v6e,1
98,312.0,9.0,0.044100902682468586,0.18304156139645056,2.8626189589849673,100,100,tpu,llama3_8b,tpu_v6e,1
99,561.0,19.0,0.04315960268246636,0.354936186498202,2.8626189589849673,100,100,tpu,llama3_8b,tpu_v6e,1
